row_id,incident_date,player_name,player_country,team_country,player_age,player_team_name,incident_description,heart_related,cardiac_related,collapsed,lightning,collision
20,1927-04-04,Albert Van Coile,Belgium,Belgium,27.0,Cercle Brugge,Perforated bowel after a collision with an opponent. Died one day later.,0,0,0,0,1
21,1927-04-30,Sam Wynne,England,England,30.0,Bury,"Collapsed and died on the field of pneumonia during a match against Sheffield United, although Bury claim it was a cerebral haemorrhage.",0,0,1,0,0
22,1927-05-03,David Arellano,Chile,Chile,24.0,Colo-Colo,Peritonitis after being hit by an opposing player during the match. Shortly after the incident Arellano was brought to a nearby clinic where he ultimately died.,0,0,0,0,0
23,1931-09-05,John Thomson,Scotland,Scotland,22.0,Celtic,Injured during an Old Firm match when he dived for the ball and suffered a fractured skull in an accidental collision with Rangers' Sam English. He died that same evening.,0,0,0,0,1
24,1933-06-17,Jón Kristbjörnsson,Iceland,Iceland,22.0,Valur,"A goalkeeper who collided with a striker from KR Reykjavik and suffered a head injury in the last game of the Icelandic League on  June . Was taken to hospital, where he died from his injuries on  June .",0,0,0,0,1
25,1934-12-01,Sim Raleigh,England,England,25.0,Gillingham,"Died after a clash of heads with Brighton & Hove Albion's Paul Mooney in a game, who subsequently retired.",0,0,0,0,0
26,1934-12-03,Pfeiferlik,Czechoslovakia,Czechoslovakia,,Union Žižkov,Fell and got a concussion in a game against Viktoria Žižkov. Died on the way to hospital.,0,0,0,0,0
27,1935-02-10,Samuel Beattie[24][25],Republic of Ireland,Republic of Ireland,28.0,Distillery F.C.,Died after a clash of heads after a corner in the – FAI Cup quarter-final. Finished the game and went home. Became delirious the same night and was rushed to hospital due to cerebral haemorrhage.,0,0,0,0,0
28,1936-02-05,Jimmy Thorpe,England,England,22.0,Sunderland,"When playing as goalkeeper, Thorpe, a diabetic, collapsed into a coma from which he never recovered, attributed to the rough treatment he received on the pitch in a game against Chelsea. His death led to the rule that players were no longer able to kick the ball out of the goalkeeper's arms.",0,0,1,0,0
29,1936-11-12,Jorge Chávez Boza,Peru,Peru,,Atlético Chalaco,"Playing in a friendly match for Atlético Chalaco, Chávez Boza had his femoral artery injured by Víctor Guarderas Lavalle from Alianza Lima. His limb was amputated which later led to his death since having diabetes.",0,0,0,0,0
30,1939-05-14,Asbjørn Rønneberg,Norway,Norway,17.0,Hof IL,Collapsed with a heart attack during the away game against Ramnes IL. He died within minutes after he was carried off the pitch.,1,0,1,0,0
31,1941-05-15,Law Adam,Netherlands,Netherlands,32.0,Thor,"After retirement at the age of  due to heart problems in , Adam was playing for Thor against Anasher in Surabaya in the Dutch East Indies on  May . He suffered a heart attack which led to his death.",1,0,0,0,0
32,1946-03-22,Isaac Angulo,Peru,Peru,,Alianza Lima,"Collapsed during a friendly match against a saltpeter workers team in Antofagasta, Chile. He died from a possible cardiac arrest.",0,1,1,0,0
33,1949-02-20,Gustav Fähland,West Germany,West Germany,,TSV Braunschweig,Internal bleeding a few days after a collision with an opposing player in a match between his club TSV Braunschweig (a temporary name for Eintracht Braunschweig) and SV Werder Bremen on  February .,0,0,0,0,1
34,1951-04-01,Mitotônio,Brazil,Brazil,35.0,Ceará,Collapsed during a match. Death attributed to stomach congestion.,0,0,1,0,0
35,1953-04-04,John Kirkby,United States,Wales,23.0,Wrexham,Collapsed during a match. Death attributed to a cardiac arrest.,0,1,1,0,0
36,1963-07-14,Constantin Tabarcea,Romania,Romania,26.0,Petrolul Ploieşti,Collapsed during a match. Death attributed to unusual activity of the thymus gland.,0,0,1,0,0
37,1966-11-01,Petar Radaković,Socialist Federal Republic of Yugoslavia,Socialist Federal Republic of Yugoslavia,29.0,NK Rijeka,Collapsed during a training session due to a heart ailment and died on the way to the hospital.,1,0,1,0,0
38,1967-02-25,Tony Allden,England,England,,Highgate United,"Struck by lightning during an FA Amateur Cup quarterfinal against Enfield, died following day.",0,0,0,1,0
39,1973-01-07,Pedro Berruezo,Spain,Spain,27.0,Sevilla F.C.,"Heart attack during a Segunda División match against Pontevedra. He had collapsed in previous matches against Alicante, Sabadell, and Barakaldo. He had received treatment for his condition, but collapsed for the last time at the Estadio Municipal de Pasarón, without ever regaining consciousness.",1,0,1,0,0
40,1973-12-16,Pavão,Portugal,Portugal,26.0,F.C. Porto,Heart attack during a league game.,1,0,0,0,0
41,1975-12-14,Ángel Avilés,Peru,Peru,,Deportivo Junín,"Collapsed on the field after a run with the ball, playing against Atlético Chalaco at the Estadio Nacional del Perú, he previously had heart complications since playing for Colegio Nacional Iquitos. A stadium in Moyobamba was named after him.",1,0,1,0,0
42,1977-05-18,Tony Aveyard,England,England,21.0,Scarborough,Head injuries received during match.,0,0,0,0,0
43,1977-08-27,Michel Soulier,Belgium,Belgium,27.0,Namur,Died as a result of an attack in a Belgian Cup away match against Anderlecht at Parc Astrid. Stade Michel-Soulier [fr] in Namur was named in his honor.,0,0,0,0,0
44,1977-10-30,Renato Curi,Italy,Italy,24.0,Perugia,Heart attack while playing in a Serie A match against Juventus. Perugia's ground is named after him.,1,0,0,0,0
45,1980-04-21,Omar Sahnoun,France,France,24.0,Bordeaux,Died from a heart attack during a club training.,1,0,0,0,0
46,1981-11-05,Hocine Benmiloudi,Algeria,Algeria,26.0,CR Belouizdad,"Died during the Ligue  match against USM Aïn Beïda in Stade  Août  (Algiers), from severe food poisoning.",0,0,0,0,0
47,1982-03-07,Carlos Alberto Barbosa,Brazil,Brazil,28.0,Sport,Died from infarction after fainting in the match against XV de Jaú.,0,0,0,0,0
48,1984-09-23,Erik Jongbloed,Netherlands,Netherlands,21.0,DWS,"Struck by lightning during an exhibition game.
Son of Jan Jongbloed, goalkeeper of the Dutch national team in both the  and  FIFA World Cup Final.",0,0,0,1,0
49,1987-01-15,José Antonio Gallardo,Spain,Spain,25.0,CD Málaga,"Collided with an opponent on  December away to Celta de Vigo, underwent emergency surgery and returned home. Relapsed on  January with a cerebral haemorrhage and fell into an eight-day coma before dying.",0,0,0,0,1
50,1987-08-23,Paulo Navalho,Portugal,Portugal,20.0,Atlético Clube de Portugal,Acute myocardial infarction during a friendly match between Atletico and the UAE's Al-Jazira Club.,0,0,0,0,0
51,1987-12-09,Dursun Özbek,Turkey,Turkey,17.0,Galatasaray,Died from a heart attack in a training match in Florya.,1,0,0,0,0
52,1989-02-07,Sixto Rovina,Netherlands Antilles,Netherlands,27.0,Groningen,Collapsed at the moment he wanted to take a throw-in while playing against VV Hoogezand. He died of a heart attack.,1,0,1,0,0
53,1989-08-12,Samuel Okwaraji,Nigeria,Nigeria,24.0,Nigeria,Collapsed and died while playing against Angola in a World Cup Qualifier. An autopsy showed that the -year-old had an enlarged heart and high blood pressure.,1,0,1,0,0
54,1990-09-08,David Longhurst,England,England,25.0,York City,Heart attack on the pitch while playing against Lincoln City. He was pronounced dead on arrival at the hospital.,1,0,0,0,0
55,1993-02-02,Michael Klein,Romania,Germany,33.0,Bayer Uerdingen,Heart attack during a training session.,1,0,0,0,0
56,1993-09-01,Gábor Zsiborás,Hungary,Hungary,35.0,MTK,The goalkeeper collapsed into a coma in the training session of Hungarian national team. After a week he died.,0,0,1,0,0
57,1995-04-30,Mukandi Tsimaya,Zaire,Greece,28.0,Atromitos F.C.,"Received an elbow hit in the neck by an opponent player, during a match against Panelefsiniakos. He died before going to hospital.",0,0,0,0,0
58,1995-08-25,Michael Goddard,Northern Ireland,Northern Ireland,,Dundela,Died during a game against Dungannon Swifts at Stangmore Park after being struck in the chest by the ball.,0,0,0,0,0
59,1995-10-29,Amir Angwe,Nigeria,Nigeria,29.0,Julius Berger F.C.,Collapsed and died on the pitch of a heart attack.,1,0,1,0,0
60,1997-01-04,Hédi Berkhissa,Tunisia,Tunisia,24.0,Esperance Sportive de Tunis,Heart attack in a friendly game against Olympique Lyonnais at Stade Chedli Zouiten,1,0,0,0,0
61,1997-04-04,Waheeb Jabara,Israel,Israel,23.0,Hapoel Taibe,Heart attack while playing against Bnei Yehuda.,1,0,0,0,0
62,1998-02-18,Robbie James,Wales,Wales,40.0,Llanelli A.F.C.,Cardiomyopathy.,0,0,0,0,0
63,1998-04-28,Axel Jüptner,Germany,Germany,29.0,Carl Zeiss Jena,Died suddenly of a heart attack during training.,1,0,0,0,0
64,1999-01-01,Ferenc Biro,Romania,Romania,15.0,Nirajul Miercurea-Nirajului,Died after a crossbar fell on his head during a warmup.,0,0,0,0,0
65,1999-07-24,Ștefan Vrăbioru,Romania,Romania,23.0,Astra Ploieşti,Undetected heart defect that led to his collapse.,1,0,1,0,0
66,2000-01-01,Daniel Orbeanu,Romania,Romania,18.0,Caraimanul Buşteni,"Died after an infection from a simple sprain, misdiagnosed by four different hospitals.",0,0,0,0,0
67,2000-02-01,John Ikoroma,Nigeria,United Arab Emirates,17.0,Al-Wahda S.C.C.,Collapsed on the pitch and later died in hospital.,0,0,1,0,0
68,2000-04-02,Eri Irianto,Indonesia,Indonesia,26.0,Persebaya Surabaya,Died in hospital due to heart failure after a game between Persebaya and PSIM Yogyakarta.,1,0,0,0,0
69,2000-05-06,Robert Mitwerandu,Poland,Poland,30.0,Raków Częstochowa,"Died from a heart attack in his house's bathroom, at the same night when his team lost – to Polar Wrocław.",1,0,0,0,0
70,2000-05-21,Hocine Gacemi,Algeria,Algeria,24.0,JS Kabylie,"Died in a hospital in Paris, France, from a fractured skull after clash of heads two days earlier",0,0,0,0,0
71,2000-05-30,Ivan Krstić,Federal Republic of Yugoslavia,Federal Republic of Yugoslavia,19.0,Radnički Niš,Struck by lightning during a training session and was killed instantly.,0,0,0,1,0
72,2000-10-05,Cătălin Hîldan,Romania,Romania,24.0,Dinamo București,"Died while playing for Dinamo; In the th minute of a friendly game against Olteniţa, Hîldan had a heart attack, and fell to the ground. The North Stand of Dinamo's stadium is named in his honour.",1,0,0,0,0
73,2001-02-14,Roman Pavelka,Czech Republic,Czech Republic,33.0,SK Uničov,Collapsed during physical training for his team and died from a heart condition.,1,0,1,0,0
74,2001-08-29,Serhiy Perkhun,Ukraine,Russia,23.0,CSKA Moscow,Injured in a collision with Budun Budunov who also sustained serious head trauma. He suffered a brain haemorrhage and died eight days later.,0,0,0,0,1
75,2001-11-20,Cédric Lestic,France,France,26.0,AS Cherbourg,Died during a training session at André-Picquenot Stadium in Tourlaville as a result of a heart attack.,1,0,0,0,0
76,2002-02-20,Cristian Neamțu,Romania,Romania,21.0,Universitatea Craiova,"Accidentally struck in the mandible by a teammate charging towards goal. Internal bleeding was discovered, before he died one week later.",0,0,0,0,0
77,2002-10-01,Marcio Dos Santos,Brazil,Peru,28.0,Deportivo Wanka,"Dos Santos suffered a heart attack after a game of his Peruvian club Deportivo Wanka, which scored a goal in the – win over Alianza Lima.",1,0,0,0,0
78,2002-10-24,Hernán Gaviria,Colombia,Colombia,32.0,Deportivo Cali,"Struck by lightning during a training session, and was killed instantly.",0,0,0,1,0
79,2002-10-27,Giovanni Córdoba,Colombia,Colombia,24.0,Deportivo Cali,"Struck by the same lightning that killed Hernán Gaviria, and died three days later from the injuries.",0,0,0,1,0
80,2002-12-12,Stefan Toleski,North Macedonia,North Macedonia,23.0,FK Napredok,Collapsed during a match and later died in a hospital.,0,0,1,0,0
81,2003-03-09,Marvin Lee,Trinidad and Tobago,Trinidad and Tobago,21.0,Trinidad and Tobago U20,"Sustained neck and spinal injuries in a collision with Landon Donovan during the  CONCACAF U- Tournament on  March . Paralysed, he died two years later on  March .",0,0,0,0,1
82,2003-06-26,Marc-Vivien Foé,Cameroon,Cameroon,28.0,Cameroon,"Collapsed while playing in the  FIFA Confederations Cup semi-final between his country and Colombia, and died shortly afterward in hospital. An autopsy later revealed the cause of death was hypertrophic cardiomyopathy.",0,0,1,0,0
83,2003-08-09,Ali Bakar,Malaysia,Malaysia,55.0,Malaysia and Penang,Suffered a heart attack and died on the field while playing in a charity football match in Singapore in .,1,0,0,0,0
84,2004-01-25,Miklós Fehér,Hungary,Portugal,24.0,Benfica,Cardiac arrest caused by hypertrophic cardiomyopathy while playing against Vitória.,0,1,0,0,0
85,2004-02-29,Danny Ortiz,Guatemala,Guatemala,27.0,CSD Municipal,Torn pericardium during a match against CSD Comunicaciones when he collided with Mario Rafael Rodríguez. He died later in a hospital.,0,0,0,0,1
86,2004-10-27,Serginho,Brazil,Brazil,30.0,São Caetano,Sudden cardiac death during a Campeonato Brasileiro Série A match against São Paulo. His death motivated a revamping of practices in medical assistance from clubs and stricter preventive measures in sports grounds in Brazil.,0,1,0,0,0
87,2004-12-05,Cristiano Júnior,Brazil,India,24.0,Dempo Sports Club,"Collided with Mohun Bagan goalkeeper Subrata Paul in the th minute of the Federation Cup finals while scoring his second goal. He staggered away, then collapsed. Attempts to revive him were unsuccessful and he was pronounced dead upon arrival at Hosmat Hospital.",0,0,1,0,1
88,2005-04-12,Paul Sykes,England,England,28.0,Folkestone Invicta,Collapsed on the pitch  minutes into the game against Margate F.C. in the Kent Senior Cup Semi-Final. An undiagnosed heart defect was identified as the cause of his death.,1,0,1,0,0
89,2005-05-27,Alin Paicu,Romania,Romania,32.0,Minerul Mătăsari,Collapsed after heading a ball. Died of a heart attack.,1,0,1,0,0
90,2005-06-25,Hugo Cunha,Portugal,Portugal,28.0,U.D. Leiria,Died suddenly from a cardiac arrest during a football match played with friends in Montemor-o-Novo.,0,1,0,0,0
91,2006-04-11,Victor Alfonso Guerrero,Colombia,Colombia,17.0,Envigado F.C.,Died suddenly during a training match. He had lost consciousness on the ground and his body had arrived lifeless to the hospital.,0,0,0,0,0
92,2006-06-12,Rasmus Green,Denmark,Denmark,26.0,Næstved BK,"Heart attack during a training session and was, despite revival attempts from teammates and a doctor, declared dead upon arrival at the local hospital. The number  was afterwards retired in his honor.",1,0,0,0,0
93,2006-08-10,Gökmen Yıldıran,Turkey,Turkey,28.0,Elazığspor,"Suffered a heart attack during training, he died before being taken to the hospital.",1,0,0,0,0
94,2006-08-30,Mohamed Abdelwahab,Egypt,Egypt,23.0,Al Ahly,Died from undetected heart defect during a training match.,1,0,0,0,0
95,2006-09-09,Matt Gadsby,England,England,27.0,Hinckley United,Collapsed on the pitch during a Conference North game against Harrogate Town and died soon afterwards at Harrogate District Hospital. Medical tests revealed he died from a heart condition known as arrhythmogenic right ventricular cardiomyopathy.,1,0,1,0,0
96,2006-09-18,Nilton Pereira Mendes,Brazil,Kazakhstan,30.0,FC Shakhter Karagandy,Collapsed on the pitch during a training session with his club and died in the ambulance on the way to the hospital. The Brazilian was a former top scorer and best player for the Kazakhstan Premier League.,0,0,1,0,0
97,2007-03-27,Ivan Karačić,Bosnia and Herzegovina,Bosnia and Herzegovina,19.0,NK Široki Brijeg,"Heart attack and died during a training match in Široki Brijeg, Bosnia and Herzegovina.",1,0,0,0,0
98,2007-08-19,Anton Reid,England,England,16.0,Walsall,Collapsed and died during youth team pre-season training. An inquest recorded a verdict of natural causes.,0,0,1,0,0
99,2007-08-28,Antonio Puerta,Spain,Spain,22.0,Sevilla FC,Collapsed during a match against Getafe C.F.. He died later in hospital after several cardiac arrests. Autopsy revealed arrhythmogenic right ventricular cardiomyopathy,0,1,1,0,0
100,2007-08-29,Chaswe Nsofwa,Zambia,Israel,28.0,Hapoel Be'er Sheva,Sudden heart failure during a training match against Maccabi Be'er Sheva.,1,0,0,0,0
101,2007-12-29,Phil O'Donnell,Scotland,Scotland,35.0,Motherwell,Collapsed during his team's – win against Dundee United with what was later confirmed as left ventricular failure. He died on the way to the hospital.,0,0,1,0,0
102,2008-02-09,Guy Tchingoma,Gabon,Gabon,22.0,FC 105 Libreville,"Died shortly after a league game against Union Sportive O'Mbila. During the match, he collided with an opponent. He managed to finish the game, but collapsed shortly after and medics were unable to revive him.",0,0,1,0,1
103,2008-02-16,Hervé King,England,England,27.0,Ringmer,Collapsed  minutes into a game against Three Bridges of an undetermined cause (heart attack suspected).,1,0,1,0,0
104,2008-04-03,Hrvoje Ćustić,Croatia,Croatia,24.0,NK Zadar,Collided with a concrete wall during a game against Cibalia and died in a hospital  days later of severe head injuries,0,0,0,0,1
105,2008-05-31,Rustem Bulatov,Russia,Russia,34.0,Torpedo SDYuSShOR Kaluga,"Felt ill during a game, died later that day in a hospital.",0,0,0,0,0
106,2009-03-15,Jumadi Abdi,Indonesia,Indonesia,26.0,PKT Bontang,Collapsed after an incident with Denny Tarkas during the match of his club PKT Bontang against Persela Lamongan. Denny kicked Jumadi's stomach when he was trying to get the ball. Jumadi died in a hospital  days later of severe infection.,0,0,1,0,0
107,2009-04-03,Víctor Hugo Ávalos,Paraguay,Paraguay,37.0,Villa Florida,Heart attack during a match against Salesianito. He died the next day.,1,0,0,0,0
108,2009-05-26,Orobosan Adun,Nigeria,Nigeria,28.0,Warri Wolves FC,"Before an away match with Enugu Rangers, goalkeeper Adun of Warri Wolves FC, was assaulted by thugs suspected to be fans of the opposition team. Adun died  days later from internal haemorrhage, during a training session.",0,0,0,0,0
109,2009-08-08,Daniel Jarque,Spain,Spain,26.0,RCD Espanyol,Cardiac arrest following a training session.,0,1,0,0,0
110,2009-09-02,Alexandru Iatan,Romania,Romania,19.0,Dunărea Giurgiu,The Romanian goalkeeper was hit in the abdominal area with a ball while trying to defend a penalty kick during team training. He continued his training but a few moments later he collapsed and died of cardiac arrest.,0,1,1,0,0
111,2009-09-20,Neridson Estevao,Angola,Angola,26.0,Progresso de Sambizanga,Died after collapsing during a second-division match between his club Progresso de Sambizanga and Benfica de Cabinda. He died later in a nearby hospital.,0,0,1,0,0
112,2009-11-15,Maurizio Greco,Italy,Germany,25.0,TuS Güldenstern Stade,Collapsed during the match of his club TuS Güldenstern Stade against Lupo Martini Wolfsburg at Campers Höhe and died later in the hospital.,0,0,1,0,0
113,2009-11-18,Salem Saad,United Arab Emirates,United Arab Emirates,31.0,Al-Nasr,Died of a heart attack during a training session.,1,0,0,0,0
114,2010-01-24,Yannick Dago,Cameroon,France,17.0,Arras Football,Collapsed during the match of his under- team club Arras Football against Etoile Sportive Anzin Saint Aubin and died later on a heart attack.,1,0,1,0,0
115,2010-03-06,Endurance Idahor,Nigeria,Sudan,25.0,Al-Merreikh,Collapsed during the match of his Sudanese club Al Merreikh against Alamal Atbara. He died in the ambulance. Autopsy report revealed that he suffered a circulatory collapse from a heart attack.,1,0,1,0,0
116,2010-03-08,Bartholomew Opoku,Ghana,Ghana,19.0,Kessben F.C.,Collapsed the day before while playing against league side Liberty. He was quickly taken to hospital and is understood to have stabilized overnight. His death was announced the next day by his club.,0,0,1,0,0
117,2010-04-09,Daniel Robert de Jesus,Brazil,Kazakhstan,28.0,Irtysh Pavlodar,Suffered a heart attack during the warmup prior to a Kazakhstan Premier League fixture against FC Kairat.,1,0,0,0,0
118,2010-05-01,Goran Tunjić,Croatia,Croatia,32.0,Mladost FC,"Heart attack during a th Division match. It was widely reported that Tunjić had been booked by the referee for diving, though such reports were later refuted by some sources.",1,0,0,0,0
119,2010-05-02,Ambrose Wreh,Liberia,Liberia,24.0,Invincible Eleven,"Heart failure in a match against Mighty Barrolle. He came on as a substitute in the second half before collapsing in the center circle with no other players near him. He died shortly afterwards upon arrival to a hospital in Monrovia, Liberia.",1,0,1,0,0
120,2010-05-08,Wilson Mene,Nigeria,Cambodia,22.0,Prek Pra Keila,Collapsed during a league match. He played in Metfone Cambodian League at National Olympic Stadium.,0,0,1,0,0
121,2010-05-08,Fred [pt],Brazil,Brazil,26.0,Mesquita,Suffered cardiac arrest during a Carioca Championship match against Cabofriense and was pronounced dead on arrival at hospital.,0,1,0,0,0
122,2010-08-18,Victor Omogbehin,Nigeria,England,22.0,Ilford F.C.,Collapsed during a league match. He played in the Isthmian Football League game from Ilford against Lowestoft Town FC.,0,0,1,0,0
123,2010-09-12,Nduka Anyanwu,Nigeria,Germany,30.0,SV 1920 Geinsheim [de],Collapsed during a league match at Queichhambach and could not be revived.,0,0,1,0,0
124,2010-11-10,Benjamin Owusu,Ghana,Benin,21.0,Cavaliers FC Parakou,Collapsed while playing in Benin.,0,0,1,0,0
125,2010-12-12,Emmanuel Ogoli,Nigeria,Nigeria,21.0,Ocean Boys F.C.,"Collapsed on the pitch while playing a league match, and died later in a hospital.",0,0,1,0,0
126,2011-04-12,Lokissimbaye Loko,Chad,France,30.0,FC Beaumontois,Heart attack during a Ligue Midi-Pyrenees match.,1,0,0,0,0
127,2011-08-04,Naoki Matsuda,Japan,Japan,34.0,Matsumoto Yamaga F.C.,"Collapsed during training on  August  due to a cardiac arrest after finishing a -minute warmup run, and doctors diagnosed his condition as ""extremely severe"". After two days, he died on  August.",0,1,1,0,0
128,2011-11-13,Bobsam Elejiko,Nigeria,Belgium,30.0,K. Merksem S.C.,Collapsed and died while playing a th tier match for K. Merksem S.C. against F.C. Exc. Kaart,0,0,1,0,0
129,2012-03-21,Dhanraj Venkatesh[100],India,India,27.0,Bangalore Mars,Collapsed toward the end of the game; reports suggest cardiac arrest as the cause of death.,0,1,1,0,0
130,2012-04-10,Patrick Grange,United States,United States,29.0,University of New Mexico,"Died of amyotrophic lateral sclerosis, after already having chronic traumatic encephalopathy.",0,0,0,0,0
131,2012-04-14,Piermario Morosini,Italy,Italy,25.0,Livorno,Collapsed during a Serie B game against Pescara. The cause of death was cardiac arrest.,0,1,1,0,0
132,2012-05-05,Mohamed Lemine Ould M'Boye,Mauritania,Mauritania,,ASC Nasr Zem Zem,"Collapsed twenty minutes into a game against FC Legwareb-FC Trarza in a Mauritanian Premier League match. Died on arrival at a hospital due to cardiac arrest. The game was postponed and replayed on  May, with Zem Zem winning –.",0,1,1,0,0
133,2012-06-12,Gerome Graham,Cayman Islands,Cayman Islands,20.0,Bodden Town,Collapsed during a training session. The cause of death was determined to be hypertrophic cardiomyopathy.,0,0,1,0,0
134,2012-07-07,Arjuna Luiz Venutto Ramos,Brazil,Brazil,17.0,São Bernardo,Collapsed during an under- championship match against Portuguesa Santista and died having suffered cardiac arrest.,0,1,1,0,0
135,2012-08-05,Chinonso Ihelwere Henry,Nigeria,Romania,21.0,Delta Tulcea,"Collapsed during a friendly game against CS Balotești in the th minute, after having been brought on for only  minutes. With the temperature being  °C, doctors tried reviving the Nigerian player for  minutes before declaring him dead. Supposedly, he underwent health tests a week before his death with no signs of problems detected. The cause was of his death was heart failure.",1,0,1,0,0
136,2012-09-02,Victor Brännström,Sweden,Sweden,29.0,Piteå IF,"Collapsed shortly after scoring during a meeting in the Division , in which he suffered a cardiac arrest and died after arriving at hospital.",0,1,1,0,0
137,2012-10-07,Joshua Pepple,Nigeria,Poland,24.0,LKS Pomorzanin Nowogard,Collapsed from a heart attack in a league game against Iskierka Szczecin and died on the pitch.,1,0,1,0,0
138,2012-10-20,Jaouad Akaddar,Morocco,Morocco,28.0,Hassania Agadir,Suffered a heart attack immediately after the end of a match.,1,0,0,0,0
139,2013-04-02,Quentin Margueritte,France,France,25.0,USON Mondeville,Collapsed during a training session of his club USON Mondeville. The cause of death was cardiac arrest.,0,1,1,0,0
140,2013-04-20,Dominik Rupp,Germany,Germany,23.0,FSV Hemmersdorf,Collapsed during a Saarlandliga game against Saar  Saarbrücken. The cause of death was cardiac arrest.,0,1,1,0,0
141,2013-05-16,Berat Sacipi,Kosovo,Germany,31.0,SV Inter Itzehoe,Collapsed during a Kreisklasse A Steinburg game against ABC Wesseln. The cause of death was cardiac arrest.,0,1,1,0,0
142,2013-06-17,Mohammad Fahad,Kuwait,Kuwait,32.0,Al-Sulaibikhat,"In a non-official match played in May , Mohammed Fahad collided with another player, causing him a severe bleeding in the brain and coma until the dawn of  June , when he died.",0,0,0,0,1
143,2013-06-21,Alen Pamić,Croatia,Croatia,23.0,NK Istra 1961,Collapsed during a retreat game for MNK Maružini of a heart attack.,1,0,1,0,0
144,2013-07-21,Yair Clavijo,Peru,Peru,18.0,Sporting Cristal,The -year-old footballer from Sporting Cristal died during a reserve match against Real Garcilaso on  June . The autopsy determined he died from a cerebral edema with brain herniation caused by hypertrophic cardiomyopathy.,0,0,0,0,0
145,2013-07-27,Sékou Camara,Mali,Indonesia,27.0,Pelita Bandung Raya,"Collapsed on the field during his team's practice session in Bandung. He was rushed to the nearest hospital, but died on the way there. The cause of death was a heart attack.",1,0,1,0,0
146,2013-07-30,Matthias Viereckl,Austria,Austria,19.0,SC Marchtrenk,Died in a friendly game against Union Steinhaus.,0,0,0,0,0
147,2013-08-27,Héctor Sanabria,Argentina,Argentina,27.0,Deportivo Laferrere,Suffered a heart attack in the th minute of a league match against General Lamadrid and died before reaching hospital.,1,0,0,0,0
